,Chn,Identifier,Flg,DLC,D0,1,2,3,4,5,6,D7,Time,Dir
,0,00000098,,8,64,00,00,00,00,00,00,00,,27323.112530,R
,0,000000B2,,8,64,00,00,00,00,00,00,00,,27323.112700,R
,0,00000230,,8,64,00,00,00,00,00,00,00,,27323.112950,R
,0,00000323,,8,64,00,00,00,00,00,00,00,,27323.113210,R
,0,00000163,,8,00,00,00,00,00,01,0D,49,,27323.113470,R
,0,00000500,,8,64,00,00,00,00,00,00,00,,27323.113720,R
,0,00000565,,8,00,00,00,00,00,01,0D,49,,27323.113980,R
,0,00000163,,8,00,00,00,00,00,01,0D,4A,,27323.115340,R
,0,00000565,,8,00,00,00,00,00,01,0D,4A,,27323.115770,R
,0,00000163,,8,00,00,00,00,00,01,0D,4B,,27323.117390,R
,0,00000565,,8,00,00,00,00,00,01,0D,4B,,27323.117820,R
,0,00000163,,8,00,00,00,00,00,01,0D,4C,,27323.119440,R
,0,00000565,,8,00,00,00,00,00,01,0D,4C,,27323.119870,R
,0,00000163,,8,00,00,00,00,00,01,0D,4D,,27323.121490,R
,0,00000565,,8,00,00,00,00,00,01,0D,4D,,27323.121910,R
,0,00000090,,8,64,00,00,00,00,00,00,00,,27323.122170,R
,0,00000098,,8,64,00,00,00,00,00,00,00,,27323.122430,R
,0,000000B2,,8,64,00,00,00,00,00,00,00,,27323.122600,R
,0,00000230,,8,64,00,00,00,00,00,00,00,,27323.122850,R
,0,00000323,,8,64,00,00,00,00,00,00,00,,27323.123110,R
,0,00000500,,8,64,00,00,00,00,00,00,00,,27323.123370,R
,0,00000163,,8,00,00,00,00,00,01,0D,4E,,27323.123620,R
,0,00000565,,8,00,00,00,00,00,01,0D,4E,,27323.124050,R
,0,00000163,,8,00,00,00,00,00,01,0D,4F,,27323.125580,R
,0,00000565,,8,00,00,00,00,00,01,0D,4F,,27323.126010,R
,0,00000163,,8,00,00,00,00,00,01,0D,50,,27323.127630,R
,0,00000565,,8,00,00,00,00,00,01,0D,50,,27323.127970,R
,0,00000163,,8,00,00,00,00,00,01,0D,51,,27323.129680,R
,0,00000565,,8,00,00,00,00,00,01,0D,51,,27323.130020,R
,0,00000163,,8,00,00,00,00,00,01,0D,52,,27323.131730,R
,0,00000230,,8,64,00,00,00,00,00,00,00,,27323.131980,R
,0,00000090,,8,64,00,00,00,00,00,00,00,,27323.132240,R
,0,00000098,,8,64,00,00,00,00,00,00,00,,27323.132500,R
,0,000000B2,,8,64,00,00,00,00,00,00,00,,27323.132750,R
,0,00000323,,8,64,00,00,00,00,00,00,00,,27323.133010,R
,0,00000500,,8,64,00,00,00,00,00,00,00,,27323.133260,R
,0,00000565,,8,00,00,00,00,00,01,0D,52,,27323.133430,R
,0,00000163,,8,00,00,00,00,00,01,0D,53,,27323.134030,R
,0,00000565,,8,00,00,00,00,00,01,0D,53,,27323.134460,R
,0,00000163,,8,00,00,00,00,00,01,0D,54,,27323.135740,R
,0,00000565,,8,00,00,00,00,00,01,0D,54,,27323.136170,R
,0,00000163,,8,00,00,00,00,00,01,0D,55,,27323.137790,R
,0,00000565,,8,00,00,00,00,00,01,0D,55,,27323.138210,R
,0,00000163,,8,00,00,00,00,00,01,0D,56,,27323.139830,R
,0,00000565,,8,00,00,00,00,00,01,0D,56,,27323.140260,R
,0,00000163,,8,00,00,00,00,00,01,0D,57,,27323.141880,R
,0,00000090,,8,64,00,00,00,00,00,00,00,,27323.142140,R
,0,00000098,,8,64,00,00,00,00,00,00,00,,27323.142390,R
,0,000000B2,,8,64,00,00,00,00,00,00,00,,27323.142650,R
,0,00000230,,8,64,00,00,00,00,00,00,00,,27323.142910,R
,0,00000323,,8,64,00,00,00,00,00,00,00,,27323.143160,R
,0,00000500,,8,64,00,00,00,00,00,00,00,,27323.143330,R
,0,00000565,,8,00,00,00,00,00,01,0D,57,,27323.143590,R
,0,00000163,,8,00,00,00,00,00,01,0D,58,,27323.144190,R
,0,00000565,,8,00,00,00,00,00,01,0D,58,,27323.144610,R
,0,00000163,,8,00,00,00,00,00,01,0D,59,,27323.145980,R
,0,00000565,,8,00,00,00,00,00,01,0D,59,,27323.146410,R
,0,00000163,,8,00,00,00,00,00,01,0D,5A,,27323.148030,R
,0,00000565,,8,00,00,00,00,00,01,0D,5A,,27323.148370,R
,0,00000163,,8,00,00,00,00,00,01,0D,5B,,27323.150070,R
,0,00000565,,8,00,00,00,00,00,01,0D,5B,,27323.150420,R
,0,00000230,,8,64,00,00,00,00,00,00,00,,27323.151950,R
,0,00000090,,8,64,00,00,00,00,00,00,00,,27323.152210,R
,0,00000098,,8,64,00,00,00,00,00,00,00,,27323.152460,R
,0,000000B2,,8,64,00,00,00,00,00,00,00,,27323.152720,R
,0,00000163,,8,00,00,00,00,00,01,0D,5C,,27323.152980,R
,0,00000323,,8,64,00,00,00,00,00,00,00,,27323.153230,R
,0,00000500,,8,64,00,00,00,00,00,00,00,,27323.153490,R
,0,00000565,,8,00,00,00,00,00,01,0D,5C,,27323.153660,R
,0,00000163,,8,00,00,00,00,00,01,0D,5D,,27323.154260,R
,0,00000565,,8,00,00,00,00,00,01,0D,5D,,27323.154680,R
,0,00000163,,8,00,00,00,00,00,01,0D,5E,,27323.156130,R
,0,00000565,,8,00,00,00,00,00,01,0D,5E,,27323.156560,R
,0,00000163,,8,00,00,00,00,00,01,0D,5F,,27323.158180,R
,0,00000565,,8,00,00,00,00,00,01,0D,5F,,27323.158610,R
,0,00000163,,8,00,00,00,00,00,01,0D,60,,27323.160230,R
,0,00000565,,8,00,00,00,00,00,01,0D,60,,27323.160660,R
,0,000000A0,,8,35,11,00,00,00,00,00,00,,27323.161940,R
,0,00000090,,8,64,00,00,00,00,00,00,00,,27323.162190,R
,0,00000098,,8,64,00,00,00,00,00,00,00,,27323.162450,R
,0,000000B0,,8,99,11,00,00,00,00,00,00,,27323.162700,R
,0,000000B2,,8,64,00,00,00,00,00,00,00,,27323.162960,R
,0,000000C0,,8,FD,11,00,00,00,00,00,00,,27323.163220,R
,0,00000163,,8,00,00,00,00,00,01,0D,61,,27323.163470,R
,0,00000230,,8,64,00,00,00,00,00,00,00,,27323.163730,R
,0,00000323,,8,64,00,00,00,00,00,00,00,,27323.163900,R
,0,00000500,,8,64,00,00,00,00,00,00,00,,27323.164150,R
,0,00000565,,8,00,00,00,00,00,01,0D,61,,27323.164410,R
,0,00000163,,8,00,00,00,00,00,01,0D,62,,27323.165010,R
,0,00000565,,8,00,00,00,00,00,01,0D,62,,27323.165430,R
,0,00000163,,8,00,00,00,00,00,01,0D,63,,27323.166370,R
,0,00000565,,8,00,00,00,00,00,01,0D,63,,27323.166800,R
,0,00000163,,8,00,00,00,00,00,01,0E,00,,27323.168420,R
,0,00000565,,8,00,00,00,00,00,01,0E,00,,27323.168760,R
,0,00000163,,8,00,00,00,00,00,01,0E,01,,27323.170470,R
,0,00000565,,8,00,00,00,00,00,01,0E,01,,27323.170810,R
,0,000000A0,,8,3A,11,00,00,00,00,00,00,,27323.172010,R
,0,00000090,,8,64,00,00,00,00,00,00,00,,27323.172180,R
