Chn,Identifier,Flg,DLC,D0,1,2,3,4,5,6,D7,Time,Dir
,0,00000090,8,64,00,00,00,00,00,00,00,,27728.306000,R
,0,00000098,8,64,00,00,00,00,00,00,00,,27728.306260,R
,0,000000B2,8,64,00,00,00,00,00,00,00,,27728.306510,R
,0,000000B5,8,64,00,00,00,00,00,00,00,,27728.306770,R
,0,000000C2,8,64,00,00,00,00,00,00,00,,27728.307020,R
,0,000000C4,8,B9,05,00,00,00,00,00,00,,27728.307280,R
,0,000000C5,8,64,00,00,00,00,00,00,00,,27728.307540,R
,0,00000230,8,64,00,00,00,00,00,00,00,,27728.307710,R
,0,00000323,8,64,00,00,00,00,00,00,00,,27728.307960,R
,0,00000500,8,64,00,00,00,00,00,00,00,,27728.308220,R
,0,00000783,8,00,00,00,00,00,01,29,22,,27728.308470,R
,0,00000565,8,00,00,00,00,00,01,29,22,,27728.308730,R
,0,00000163,8,00,00,00,00,00,01,29,23,,27728.309070,R
,0,00000565,8,00,00,00,00,00,01,29,23,,27728.309500,R
,0,00000783,8,00,00,00,00,00,01,29,23,,27728.309840,R
,0,00000163,8,00,00,00,00,00,01,29,24,,27728.310440,R
,0,00000565,8,00,00,00,00,00,01,29,24,,27728.310860,R
,0,00000783,8,00,00,00,00,00,01,29,24,,27728.311290,R
,0,00000163,8,00,00,00,00,00,01,29,25,,27728.311890,R
,0,00000565,8,00,00,00,00,00,01,29,25,,27728.312310,R
,0,00000783,8,00,00,00,00,00,01,29,25,,27728.312660,R
,0,00000163,8,00,00,00,00,00,01,29,26,,27728.313940,R
,0,00000565,8,00,00,00,00,00,01,29,26,,27728.314360,R
,0,00000783,8,00,00,00,00,00,01,29,26,,27728.314700,R
,0,000000C4,8,B9,05,00,00,00,00,00,00,,27728.315810,R
,0,00000090,8,64,00,00,00,00,00,00,00,,27728.316070,R
,0,00000098,8,64,00,00,00,00,00,00,00,,27728.316240,R
,0,000000B2,8,64,00,00,00,00,00,00,00,,27728.316500,R
,0,000000B5,8,64,00,00,00,00,00,00,00,,27728.316750,R
,0,000000C2,8,64,00,00,00,00,00,00,00,,27728.317010,R
,0,000000C5,8,64,00,00,00,00,00,00,00,,27728.317260,R
,0,00000163,8,00,00,00,00,00,01,29,27,,27728.317520,R
,0,00000230,8,64,00,00,00,00,00,00,00,,27728.317780,R
,0,00000323,8,64,00,00,00,00,00,00,00,,27728.318030,R
,0,00000500,8,64,00,00,00,00,00,00,00,,27728.318290,R
,0,00000565,8,00,00,00,00,00,01,29,27,,27728.318460,R
,0,00000783,8,00,00,00,00,00,01,29,27,,27728.318890,R
,0,00000163,8,00,00,00,00,00,01,29,28,,27728.319480,R
,0,00000565,8,00,00,00,00,00,01,29,28,,27728.319910,R
,0,00000783,8,00,00,00,00,00,01,29,28,,27728.320250,R
,0,00000163,8,00,00,00,00,00,01,29,29,,27728.320850,R
,0,00000565,8,00,00,00,00,00,01,29,29,,27728.321270,R
,0,00000783,8,00,00,00,00,00,01,29,29,,27728.321700,R
,0,00000163,8,00,00,00,00,00,01,29,2A,,27728.322210,R
,0,00000565,8,00,00,00,00,00,01,29,2A,,27728.322640,R
,0,00000783,8,00,00,00,00,00,01,29,2A,,27728.323070,R
,0,00000163,8,00,00,00,00,00,01,29,2B,,27728.324090,R
,0,00000565,8,00,00,00,00,00,01,29,2B,,27728.324520,R
,0,00000783,8,00,00,00,00,00,01,29,2B,,27728.324940,R
,0,000000A3,8,80,07,00,00,00,00,00,00,,27728.325800,R
,0,00000090,8,64,00,00,00,00,00,00,00,,27728.326050,R
,0,00000098,8,64,00,00,00,00,00,00,00,,27728.326310,R
,0,000000B2,8,64,00,00,00,00,00,00,00,,27728.326480,R
,0,000000B3,8,48,08,00,00,00,00,00,00,,27728.326740,R
,0,000000B5,8,64,00,00,00,00,00,00,00,,27728.326990,R
,0,000000C2,8,64,00,00,00,00,00,00,00,,27728.327250,R
,0,000000C5,8,64,00,00,00,00,00,00,00,,27728.327500,R
,0,00000163,8,00,00,00,00,00,01,29,2C,,27728.327760,R
,0,00000230,8,64,00,00,00,00,00,00,00,,27728.328020,R
,0,00000323,8,64,00,00,00,00,00,00,00,,27728.328270,R
,0,00000500,8,64,00,00,00,00,00,00,00,,27728.328440,R
,0,00000565,8,00,00,00,00,00,01,29,2C,,27728.328700,R
,0,00000783,8,00,00,00,00,00,01,29,2C,,27728.329130,R
,0,00000163,8,00,00,00,00,00,01,29,2D,,27728.329720,R
,0,00000565,8,00,00,00,00,00,01,29,2D,,27728.330150,R
,0,00000783,8,00,00,00,00,00,01,29,2D,,27728.330490,R
,0,00000163,8,00,00,00,00,00,01,29,2E,,27728.331090,R
,0,00000565,8,00,00,00,00,00,01,29,2E,,27728.331510,R
,0,00000783,8,00,00,00,00,00,01,29,2E,,27728.331860,R
,0,00000163,8,00,00,00,00,00,01,29,2F,,27728.332450,R
,0,00000565,8,00,00,00,00,00,01,29,2F,,27728.332880,R
,0,00000783,8,00,00,00,00,00,01,29,2F,,27728.333310,R
,0,00000163,8,00,00,00,00,00,01,29,30,,27728.334330,R
,0,00000565,8,00,00,00,00,00,01,29,30,,27728.334670,R
,0,00000783,8,00,00,00,00,00,01,29,30,,27728.335100,R
