Chn,Identifier,Flg,DLC,D0,1,2,3,4,5,6,D7,Time,Dir
,0,00000163,8,00,00,00,00,00,09,50,40,28082.378490,R
,0,000000C4,8,32,05,00,00,00,00,00,00,28082.379090,R
,0,00000090,8,64,00,00,00,00,00,00,00,28082.379340,R
,0,00000230,8,64,00,00,00,00,00,00,00,28082.379510,R
,0,00000323,8,64,00,00,00,00,00,00,00,28082.379770,R
,0,00000163,8,00,00,00,00,00,09,50,41,28082.380540,R
,0,00000163,8,00,00,00,00,00,09,50,42,28082.382590,R
,0,00000163,8,00,00,00,00,00,09,50,43,28082.384630,R
,0,00000163,8,00,00,00,00,00,09,50,44,28082.386680,R
,0,00000163,8,00,00,00,00,00,09,50,45,28082.388730,R
,0,000000C4,8,32,05,00,00,00,00,00,00,28082.389070,R
,0,00000090,8,64,00,00,00,00,00,00,00,28082.389330,R
,0,00000230,8,64,00,00,00,00,00,00,00,28082.389580,R
,0,00000323,8,64,00,00,00,00,00,00,00,28082.389750,R
,0,00000163,8,00,00,00,00,00,09,50,46,28082.390780,R
,0,00000163,8,00,00,00,00,00,09,50,47,28082.392740,R
,0,00000163,8,00,00,00,00,00,09,50,48,28082.394790,R
,0,00000163,8,00,00,00,00,00,09,50,49,28082.396840,R
,0,00000163,8,00,00,00,00,00,09,50,4A,28082.398890,R
,0,00000090,8,64,00,00,00,00,00,00,00,28082.399140,R
,0,000000C4,8,32,05,00,00,00,00,00,00,28082.399400,R
,0,00000230,8,64,00,00,00,00,00,00,00,28082.399650,R
,0,00000323,8,64,00,00,00,00,00,00,00,28082.399910,R
,0,00000163,8,00,00,00,00,00,09,50,4B,28082.400930,R
,0,00000163,8,00,00,00,00,00,09,50,4C,28082.402980,R
,0,00000163,8,00,00,00,00,00,09,50,4D,28082.405030,R
,0,00000163,8,00,00,00,00,00,09,50,4E,28082.407080,R
,0,000000A3,8,CC,06,00,00,00,00,00,00,28082.409040,R
,0,00000090,8,64,00,00,00,00,00,00,00,28082.409300,R
,0,000000B3,8,94,07,00,00,00,00,00,00,28082.409550,R
,0,00000163,8,00,00,00,00,00,09,50,4F,28082.409810,R
,0,00000230,8,64,00,00,00,00,00,00,00,28082.410060,R
,0,00000323,8,64,00,00,00,00,00,00,00,28082.410230,R
,0,00000163,8,00,00,00,00,00,09,50,50,28082.411090,R
,0,00000163,8,00,00,00,00,00,09,50,51,28082.413140,R
,0,00000163,8,00,00,00,00,00,09,50,52,28082.415180,R
,0,00000163,8,00,00,00,00,00,09,50,53,28082.417230,R
,0,000000A3,8,CC,06,00,00,00,00,00,00,28082.419020,R
,0,00000090,8,64,00,00,00,00,00,00,00,28082.419280,R
,0,000000B3,8,94,07,00,00,00,00,00,00,28082.419540,R
,0,00000163,8,00,00,00,00,00,09,50,54,28082.419790,R
,0,00000230,8,64,00,00,00,00,00,00,00,28082.420050,R
,0,00000323,8,64,00,00,00,00,00,00,00,28082.420300,R
,0,00000163,8,00,00,00,00,00,09,50,55,28082.421330,R
,0,00000163,8,00,00,00,00,00,09,50,56,28082.423380,R
,0,00000163,8,00,00,00,00,00,09,50,57,28082.425420,R
,0,00000163,8,00,00,00,00,00,09,50,58,28082.427470,R
,0,000000A3,8,CC,06,00,00,00,00,00,00,28082.429010,R
,0,00000090,8,64,00,00,00,00,00,00,00,28082.429260,R
,0,000000B3,8,94,07,00,00,00,00,00,00,28082.429520,R
,0,00000163,8,00,00,00,00,00,09,50,59,28082.429780,R
,0,00000230,8,64,00,00,00,00,00,00,00,28082.430030,R
,0,00000323,8,64,00,00,00,00,00,00,00,28082.430290,R
,0,00000163,8,00,00,00,00,00,09,50,5A,28082.431480,R
,0,00000163,8,00,00,00,00,00,09,50,5B,28082.433530,R
,0,00000163,8,00,00,00,00,00,09,50,5C,28082.435580,R
,0,00000163,8,00,00,00,00,00,09,50,5D,28082.437630,R
,0,000000A3,8,CC,06,00,00,00,00,00,00,28082.438990,R
,0,00000090,8,64,00,00,00,00,00,00,00,28082.439250,R
,0,000000B3,8,94,07,00,00,00,00,00,00,28082.439500,R
,0,00000163,8,00,00,00,00,00,09,50,5E,28082.439760,R
,0,00000230,8,64,00,00,00,00,00,00,00,28082.440020,R
,0,00000323,8,64,00,00,00,00,00,00,00,28082.440270,R
,0,00000163,8,00,00,00,00,00,09,50,5F,28082.441720,R
,0,00000163,8,00,00,00,00,00,09,50,60,28082.443770,R
,0,00000163,8,00,00,00,00,00,09,50,61,28082.445820,R
,0,00000163,8,00,00,00,00,00,09,50,62,28082.447780,R
,0,00000230,8,64,00,00,00,00,00,00,00,28082.449060,R
,0,00000090,8,64,00,00,00,00,00,00,00,28082.449230,R
,0,00000323,8,64,00,00,00,00,00,00,00,28082.449490,R
,0,00000163,8,00,00,00,00,00,09,50,63,28082.449830,R
,0,00000163,8,00,00,00,00,00,09,51,00,28082.451880,R
,0,00000163,8,00,00,00,00,00,09,51,01,28082.453930,R
,0,00000163,8,00,00,00,00,00,09,51,02,28082.455970,R
,0,00000163,8,00,00,00,00,00,09,51,03,28082.458020,R
,0,00000230,8,64,00,00,00,00,00,00,00,28082.459050,R
,0,00000090,8,64,00,00,00,00,00,00,00,28082.459300,R
,0,00000323,8,64,00,00,00,00,00,00,00,28082.459470,R
,0,00000163,8,00,00,00,00,00,09,51,04,28082.460070,R
,0,00000163,8,00,00,00,00,00,09,51,05,28082.462120,R
,0,00000163,8,00,00,00,00,00,09,51,06,28082.464170,R
,0,00000163,8,00,00,00,00,00,09,51,07,28082.466210,R
,0,00000163,8,00,00,00,00,00,09,51,08,28082.468180,R
,0,00000230,8,64,00,00,00,00,00,00,00,28082.469030,R
,0,00000090,8,64,00,00,00,00,00,00,00,28082.469290,R
,0,00000323,8,64,00,00,00,00,00,00,00,28082.469540,R
,0,00000163,8,00,00,00,00,00,09,51,09,28082.470220,R
,0,00000163,8,00,00,00,00,00,09,51,0A,28082.472270,R
,0,00000163,8,00,00,00,00,00,09,51,0B,28082.474320,R
,0,00000163,8,00,00,00,00,00,09,51,0C,28082.476370,R
,0,00000163,8,00,00,00,00,00,09,51,0D,28082.478420,R
,0,00000230,8,64,00,00,00,00,00,00,00,28082.479010,R
,0,00000090,8,64,00,00,00,00,00,00,00,28082.479270,R
,0,00000323,8,64,00,00,00,00,00,00,00,28082.479530,R
,0,00000163,8,00,00,00,00,00,09,51,0E,28082.480460,R
,0,00000163,8,00,00,00,00,00,09,51,0F,28082.482510,R
,0,00000163,8,00,00,00,00,00,09,51,10,28082.484560,R
,0,00000163,8,00,00,00,00,00,09,51,11,28082.486520,R
,0,00000163,8,00,00,00,00,00,09,51,12,28082.488570,R
,0,000000A0,8,D1,06,00,00,00,00,00,00,28082.489000,R
,0,00000090,8,64,00,00,00,00,00,00,00,28082.489250,R
,0,000000B0,8,35,07,00,00,00,00,00,00,28082.489510,R
,0,000000C0,8,99,07,00,00,00,00,00,00,28082.489770,R
,0,00000230,8,64,00,00,00,00,00,00,00,28082.490020,R
,0,00000323,8,64,00,00,00,00,00,00,00,28082.490280,R
,0,00000163,8,00,00,00,00,00,09,51,13,28082.490620,R
,0,00000163,8,00,00,00,00,00,09,51,14,28082.492670,R
,0,00000163,8,00,00,00,00,00,09,51,15,28082.494710,R
,0,00000163,8,00,00,00,00,00,09,51,16,28082.496760,R
,0,00000163,8,00,00,00,00,00,09,51,17,28082.498810,R
,0,00000090,8,64,00,00,00,00,00,00,00,28082.499070,R
,0,000000A0,8,D6,06,00,00,00,00,00,00,28082.499320,R
,0,000000B0,8,3A,07,00,00,00,00,00,00,28082.499490,R
,0,000000C0,8,9E,07,00,00,00,00,00,00,28082.499750,R
,0,00000230,8,64,00,00,00,00,00,00,00,28082.500010,R
,0,00000323,8,64,00,00,00,00,00,00,00,28082.500260,R
,0,00000163,8,00,00,00,00,00,09,51,18,28082.500860,R
,0,00000163,8,00,00,00,00,00,09,51,19,28082.502910,R
,0,00000163,8,00,00,00,00,00,09,51,1A,28082.504870,R
,0,00000163,8,00,00,00,00,00,09,51,1B,28082.506920,R
,0,00000163,8,00,00,00,00,00,09,51,1C,28082.508970,R
,0,00000090,8,64,00,00,00,00,00,00,00,28082.509220,R
,0,000000A0,8,DB,06,00,00,00,00,00,00,28082.509480,R
,0,000000B0,8,3F,07,00,00,00,00,00,00,28082.509730,R
,0,000000C0,8,A3,07,00,00,00,00,00,00,28082.509990,R
,0,00000230,8,64,00,00,00,00,00,00,00,28082.510250,R
,0,00000323,8,64,00,00,00,00,00,00,00,28082.510500,R
,0,00000163,8,00,00,00,00,00,09,51,1D,28082.511010,R
,0,00000163,8,00,00,00,00,00,09,51,1E,28082.513060,R
,0,00000163,8,00,00,00,00,00,09,51,1F,28082.515110,R
,0,00000163,8,00,00,00,00,00,09,51,20,28082.517160,R
,0,000000A0,8,E0,06,00,00,00,00,00,00,28082.519030,R
,0,00000090,8,64,00,00,00,00,00,00,00,28082.519210,R
,0,000000B0,8,44,07,00,00,00,00,00,00,28082.519460,R
,0,000000C0,8,A8,07,00,00,00,00,00,00,28082.519720,R
,0,00000163,8,00,00,00,00,00,09,51,21,28082.519970,R
,0,00000230,8,64,00,00,00,00,00,00,00,28082.520230,R
,0,00000323,8,64,00,00,00,00,00,00,00,28082.520490,R
,0,00000163,8,00,00,00,00,00,09,51,22,28082.521250,R
,0,00000163,8,00,00,00,00,00,09,51,23,28082.523220,R
,0,00000163,8,00,00,00,00,00,09,51,24,28082.525260,R
,0,00000163,8,00,00,00,00,00,09,51,25,28082.527310,R
,0,000000A1,8,37,05,00,00,00,00,00,00,28082.529020,R
,0,00000090,8,64,00,00,00,00,00,00,00,28082.529270,R
,0,000000B1,8,37,05,00,00,00,00,00,00,28082.529450,R
,0,00000163,8,00,00,00,00,00,09,51,26,28082.529700,R
,0,00000230,8,64,00,00,00,00,00,00,00,28082.529960,R
,0,00000323,8,64,00,00,00,00,00,00,00,28082.530210,R
,0,00000163,8,00,00,00,00,00,09,51,27,28082.531410,R
,0,00000163,8,00,00,00,00,00,09,51,28,28082.533460,R
,0,00000163,8,00,00,00,00,00,09,51,29,28082.535500,R
,0,00000163,8,00,00,00,00,00,09,51,2A,28082.537550,R
,0,000000A1,8,3C,05,00,00,00,00,00,00,28082.539000,R
,0,00000090,8,64,00,00,00,00,00,00,00,28082.539260,R
,0,000000B1,8,3C,05,00,00,00,00,00,00,28082.539510,R
,0,00000163,8,00,00,00,00,00,09,51,2B,28082.539690,R
,0,00000230,8,64,00,00,00,00,00,00,00,28082.539940,R
,0,00000323,8,64,00,00,00,00,00,00,00,28082.540200,R
,0,00000163,8,00,00,00,00,00,09,51,2C,28082.541560,R
,0,00000163,8,00,00,00,00,00,09,51,2D,28082.543610,R
,0,00000163,8,00,00,00,00,00,09,51,2E,28082.545660,R
,0,00000163,8,00,00,00,00,00,09,51,2F,28082.547710,R
,0,000000A1,8,41,05,00,00,00,00,00,00,28082.548990,R
,0,00000090,8,64,00,00,00,00,00,00,00,28082.549240,R
,0,000000B1,8,41,05,00,00,00,00,00,00,28082.549500,R
,0,00000230,8,64,00,00,00,00,00,00,00,28082.549750,R
,0,00000163,8,00,00,00,00,00,09,51,30,28082.549930,R
,0,00000323,8,64,00,00,00,00,00,00,00,28082.550180,R
,0,00000163,8,00,00,00,00,00,09,51,31,28082.551800,R
,0,00000163,8,00,00,00,00,00,09,51,32,28082.553850,R
,0,00000163,8,00,00,00,00,00,09,51,33,28082.555900,R
,0,00000163,8,00,00,00,00,00,09,51,34,28082.557950,R
,0,000000C4,8,41,05,00,00,00,00,00,00,28082.558970,R
,0,00000090,8,64,00,00,00,00,00,00,00,28082.559230,R
,0,00000230,8,64,00,00,00,00,00,00,00,28082.559480,R
,0,00000323,8,64,00,00,00,00,00,00,00,28082.559740,R
,0,00000163,8,00,00,00,00,00,09,51,35,28082.559990,R
,0,00000163,8,00,00,00,00,00,09,51,36,28082.561960,R
,0,00000163,8,00,00,00,00,00,09,51,37,28082.564010,R
,0,00000163,8,00,00,00,00,00,09,51,38,28082.566050,R
,0,00000163,8,00,00,00,00,00,09,51,39,28082.568100,R
,0,000000C4,8,41,05,00,00,00,00,00,00,28082.568950,R
,0,00000090,8,64,00,00,00,00,00,00,00,28082.569210,R
,0,00000230,8,64,00,00,00,00,00,00,00,28082.569470,R
,0,00000323,8,64,00,00,00,00,00,00,00,28082.569720,R
