id,id,time,per,
1381,565,27453.5505,,0
355,163,27453.55212,,0.00162
1381,565,27453.55255,,0.00205
355,163,27453.55417,,0.00367
144,90,27453.55443,,0.00393
152,98,27453.55468,,0.00418
161,000000A1,27453.55494,,0.00444
177,000000B1,27453.55511,,0.00461
178,000000B2,27453.55537,,0.00487
560,230,27453.55562,,0.00512
803,323,27453.55588,,0.00538
1280,500,27453.55613,,0.00563
1381,565,27453.55639,,0.00589
355,163,27453.55665,,0.00615
1381,565,27453.55699,,0.00649
355,163,27453.55827,,0.00777
1381,565,27453.55861,,0.00811
355,163,27453.56031,,0.00981
1381,565,27453.56066,,0.01016
355,163,27453.56228,,0.01178
1381,565,27453.5627,,0.0122
161,000000A1,27453.56424,,0.01374
144,90,27453.5645,,0.014
152,98,27453.56475,,0.01425
177,000000B1,27453.56501,,0.01451
178,000000B2,27453.56526,,0.01476
355,163,27453.56552,,0.01502
560,230,27453.56578,0.01016,0.01528
803,323,27453.56595,,0.01545
1280,500,27453.5662,,0.0157
1381,565,27453.56646,,0.01596
355,163,27453.56706,,0.01656
1381,565,27453.56748,,0.01698
355,163,27453.56842,,0.01792
1381,565,27453.56885,,0.01835
355,163,27453.57047,,0.01997
1381,565,27453.5709,,0.0204
355,163,27453.57252,,0.02202
1381,565,27453.57294,,0.02244
163,000000A3,27453.57422,,0.02372
144,90,27453.57448,,0.02398
152,98,27453.57474,,0.02424
178,000000B2,27453.57499,,0.02449
179,000000B3,27453.57525,,0.02475
355,163,27453.5755,,0.025
560,230,27453.57576,0.00998,0.02526
803,323,27453.57602,,0.02552
1280,500,27453.57627,,0.02577
1381,565,27453.57644,,0.02594
355,163,27453.57704,,0.02654
1381,565,27453.57747,,0.02697
355,163,27453.57866,,0.02816
1381,565,27453.579,,0.0285
355,163,27453.58071,,0.03021
1381,565,27453.58105,,0.03055
355,163,27453.58267,,0.03217
1381,565,27453.5831,,0.0326
163,000000A3,27453.58429,,0.03379
144,90,27453.58446,,0.03396
152,98,27453.58472,,0.03422
178,000000B2,27453.58498,,0.03448
179,000000B3,27453.58523,,0.03473
355,163,27453.58549,,0.03499
560,230,27453.58574,0.00998,0.03524
803,323,27453.586,,0.0355
1280,500,27453.58626,,0.03576
1381,565,27453.58643,,0.03593
355,163,27453.58711,,0.03661
1381,565,27453.58745,,0.03695
,163,27453.58882,,0.03832
,565,27453.58924,,0.03874
,163,27453.59086,,0.04036
,565,27453.59129,,0.04079
,163,27453.59291,,0.04241
,565,27453.59325,,0.04275
