Chn,Identifier,Flg,DLC,D0,1,2,3,4,5,6,D7,Time,Dir
,0,00000090,8,64,00,00,00,00,00,00,00,27568.297380,R
,0,00000098,8,64,00,00,00,00,00,00,00,27568.297640,R
,0,000000B2,8,64,00,00,00,00,00,00,00,27568.297890,R
,0,00000230,8,64,00,00,00,00,00,00,00,27568.298150,R
,0,00000163,8,00,00,00,00,00,0D,0B,34,27568.298410,R
,0,00000323,8,64,00,00,00,00,00,00,00,27568.298660,R
,0,00000500,8,64,00,00,00,00,00,00,00,27568.298920,R
,0,00000565,8,00,00,00,00,00,0D,0B,34,27568.299090,R
,0,00000163,8,00,00,00,00,00,0D,0B,35,27568.300370,R
,0,00000565,8,00,00,00,00,00,0D,0B,35,27568.300790,R
,0,00000163,8,00,00,00,00,00,0D,0B,36,27568.302420,R
,0,00000565,8,00,00,00,00,00,0D,0B,36,27568.302840,R
,0,00000163,8,00,00,00,00,00,0D,0B,37,27568.304460,R
,0,00000565,8,00,00,00,00,00,0D,0B,37,27568.304890,R
,0,00000163,8,00,00,00,00,00,0D,0B,38,27568.306510,R
,0,00000565,8,00,00,00,00,00,0D,0B,38,27568.306940,R
,0,000000C4,8,5E,06,00,00,00,00,00,00,27568.307190,R
,0,00000090,8,64,00,00,00,00,00,00,00,27568.307450,R
,0,00000098,8,64,00,00,00,00,00,00,00,27568.307620,R
,0,000000B2,8,64,00,00,00,00,00,00,00,27568.307880,R
,0,00000230,8,64,00,00,00,00,00,00,00,27568.308130,R
,0,00000323,8,64,00,00,00,00,00,00,00,27568.308390,R
,0,00000163,8,00,00,00,00,00,0D,0B,39,27568.308650,R
,0,00000500,8,64,00,00,00,00,00,00,00,27568.308900,R
,0,00000565,8,00,00,00,00,00,0D,0B,39,27568.309160,R
,0,00000163,8,00,00,00,00,00,0D,0B,3A,27568.310610,R
,0,00000565,8,00,00,00,00,00,0D,0B,3A,27568.310950,R
,0,00000163,8,00,00,00,00,00,0D,0B,3B,27568.312660,R
,0,00000565,8,00,00,00,00,00,0D,0B,3B,27568.313000,R
,0,00000163,8,00,00,00,00,00,0D,0B,3C,27568.314620,R
,0,00000565,8,00,00,00,00,00,0D,0B,3C,27568.315050,R
,0,00000163,8,00,00,00,00,00,0D,0B,3D,27568.316750,R
,0,00000565,8,00,00,00,00,00,0D,0B,3D,27568.317090,R
,0,00000090,8,64,00,00,00,00,00,00,00,27568.317350,R
,0,00000098,8,64,00,00,00,00,00,00,00,27568.317610,R
,0,000000B2,8,64,00,00,00,00,00,00,00,27568.317860,R
,0,000000C4,8,5E,06,00,00,00,00,00,00,27568.318120,R
,0,00000230,8,64,00,00,00,00,00,00,00,27568.318370,R
,0,00000323,8,64,00,00,00,00,00,00,00,27568.318540,R
,0,00000163,8,00,00,00,00,00,0D,0B,3E,27568.318800,R
,0,00000500,8,64,00,00,00,00,00,00,00,27568.319060,R
,0,00000565,8,00,00,00,00,00,0D,0B,3E,27568.319310,R
,0,00000163,8,00,00,00,00,00,0D,0B,3F,27568.320760,R
,0,00000565,8,00,00,00,00,00,0D,0B,3F,27568.321190,R
,0,00000163,8,00,00,00,00,00,0D,0B,40,27568.322810,R
,0,00000565,8,00,00,00,00,00,0D,0B,40,27568.323240,R
,0,00000163,8,00,00,00,00,00,0D,0B,41,27568.324860,R
,0,00000565,8,00,00,00,00,00,0D,0B,41,27568.325290,R
,0,00000163,8,00,00,00,00,00,0D,0B,42,27568.326910,R
,0,000000C4,8,5E,06,00,00,00,00,00,00,27568.327160,R
,0,00000090,8,64,00,00,00,00,00,00,00,27568.327420,R
,0,00000098,8,64,00,00,00,00,00,00,00,27568.327670,R
,0,000000B2,8,64,00,00,00,00,00,00,00,27568.327930,R
,0,00000230,8,64,00,00,00,00,00,00,00,27568.328100,R
,0,00000323,8,64,00,00,00,00,00,00,00,27568.328360,R
,0,00000500,8,64,00,00,00,00,00,00,00,27568.328610,R
,0,00000565,8,00,00,00,00,00,0D,0B,42,27568.328870,R
,0,00000163,8,00,00,00,00,00,0D,0B,43,27568.329210,R
,0,00000565,8,00,00,00,00,00,0D,0B,43,27568.329640,R
,0,00000163,8,00,00,00,00,00,0D,0B,44,27568.331000,R
,0,00000565,8,00,00,00,00,00,0D,0B,44,27568.331340,R
,0,00000163,8,00,00,00,00,00,0D,0B,45,27568.332970,R
,0,00000565,8,00,00,00,00,00,0D,0B,45,27568.333390,R
,0,00000163,8,00,00,00,00,00,0D,0B,46,27568.335010,R
,0,00000565,8,00,00,00,00,00,0D,0B,46,27568.335440,R
,0,00000163,8,00,00,00,00,00,0D,0B,47,27568.337060,R
,0,00000090,8,64,00,00,00,00,00,00,00,27568.337320,R
,0,00000098,8,64,00,00,00,00,00,00,00,27568.337570,R
,0,000000A3,8,5C,08,00,00,00,00,00,00,27568.337830,R
,0,000000B2,8,64,00,00,00,00,00,00,00,27568.338090,R
,0,000000B3,8,24,09,00,00,00,00,00,00,27568.338340,R
,0,00000230,8,64,00,00,00,00,00,00,00,27568.338600,R
,0,00000323,8,64,00,00,00,00,00,00,00,27568.338850,R
,0,00000500,8,64,00,00,00,00,00,00,00,27568.339110,R
,0,00000565,8,00,00,00,00,00,0D,0B,47,27568.339280,R
,0,00000163,8,00,00,00,00,00,0D,0B,48,27568.339540,R
,0,00000565,8,00,00,00,00,00,0D,0B,48,27568.339960,R
,0,00000163,8,00,00,00,00,00,0D,0B,49,27568.341160,R
,0,00000565,8,00,00,00,00,00,0D,0B,49,27568.341580,R
,0,00000163,8,00,00,00,00,00,0D,0B,4A,27568.343210,R
,0,00000565,8,00,00,00,00,00,0D,0B,4A,27568.343630,R
,0,00000163,8,00,00,00,00,00,0D,0B,4B,27568.345250,R
,0,00000565,8,00,00,00,00,00,0D,0B,4B,27568.345680,R
,0,000000A3,8,5C,08,00,00,00,00,00,00,27568.347130,R
,0,00000090,8,64,00,00,00,00,00,00,00,27568.347390,R
,0,00000098,8,64,00,00,00,00,00,00,00,27568.347640,R
,0,000000B2,8,64,00,00,00,00,00,00,00,27568.347900,R
,0,000000B3,8,24,09,00,00,00,00,00,00,27568.348150,R
,0,00000163,8,00,00,00,00,00,0D,0B,4C,27568.348330,R
,0,00000230,8,64,00,00,00,00,00,00,00,27568.348580,R
,0,00000323,8,64,00,00,00,00,00,00,00,27568.348840,R
,0,00000500,8,64,00,00,00,00,00,00,00,27568.349090,R
,0,00000565,8,00,00,00,00,00,0D,0B,4C,27568.349350,R
,0,00000163,8,00,00,00,00,00,0D,0B,4D,27568.349950,R
,0,00000565,8,00,00,00,00,00,0D,0B,4D,27568.350370,R
,0,00000163,8,00,00,00,00,00,0D,0B,4E,27568.351400,R
,0,00000565,8,00,00,00,00,00,0D,0B,4E,27568.351740,R
,0,00000163,8,00,00,00,00,00,0D,0B,4F,27568.353360,R
,0,00000565,8,00,00,00,00,00,0D,0B,4F,27568.353790,R
,0,00000163,8,00,00,00,00,00,0D,0B,50,27568.355410,R
,0,00000565,8,00,00,00,00,00,0D,0B,50,27568.355830,R
,0,000000A3,8,5C,08,00,00,00,00,00,00,27568.357110,R
,0,00000090,8,64,00,00,00,00,00,00,00,27568.357370,R
,0,00000098,8,64,00,00,00,00,00,00,00,27568.357630,R
,0,000000B2,8,64,00,00,00,00,00,00,00,27568.357880,R
,0,000000B3,8,24,09,00,00,00,00,00,00,27568.358140,R
,0,00000163,8,00,00,00,00,00,0D,0B,51,27568.358390,R
,0,00000230,8,64,00,00,00,00,00,00,00,27568.358650,R
,0,00000323,8,64,00,00,00,00,00,00,00,27568.358820,R
,0,00000500,8,64,00,00,00,00,00,00,00,27568.359080,R
,0,00000565,8,00,00,00,00,00,0D,0B,51,27568.359330,R
,0,00000163,8,00,00,00,00,00,0D,0B,52,27568.359930,R
,0,00000565,8,00,00,00,00,00,0D,0B,52,27568.360360,R
,0,00000163,8,00,00,00,00,00,0D,0B,53,27568.361550,R
,0,00000565,8,00,00,00,00,00,0D,0B,53,27568.361980,R
,0,00000163,8,00,00,00,00,00,0D,0B,54,27568.363600,R
,0,00000565,8,00,00,00,00,00,0D,0B,54,27568.364030,R
,0,00000163,8,00,00,00,00,00,0D,0B,55,27568.365650,R
,0,00000565,8,00,00,00,00,00,0D,0B,55,27568.365990,R
,0,000000A3,8,5C,08,00,00,00,00,00,00,27568.367100,R
,0,00000090,8,64,00,00,00,00,00,00,00,27568.367350,R
,0,00000098,8,64,00,00,00,00,00,00,00,27568.367610,R
,0,000000B2,8,64,00,00,00,00,00,00,00,27568.367870,R
,0,000000B3,8,24,09,00,00,00,00,00,00,27568.368120,R
,0,00000163,8,00,00,00,00,00,0D,0B,56,27568.368380,R
,0,00000230,8,64,00,00,00,00,00,00,00,27568.368630,R
,0,00000323,8,64,00,00,00,00,00,00,00,27568.368890,R
,0,00000500,8,64,00,00,00,00,00,00,00,27568.369060,R
,0,00000565,8,00,00,00,00,00,0D,0B,56,27568.369320,R
,0,00000163,8,00,00,00,00,00,0D,0B,57,27568.369910,R
,0,00000565,8,00,00,00,00,00,0D,0B,57,27568.370340,R
,0,00000163,8,00,00,00,00,00,0D,0B,58,27568.371710,R
,0,00000565,8,00,00,00,00,00,0D,0B,58,27568.372130,R
,0,00000163,8,00,00,00,00,00,0D,0B,59,27568.373750,R
,0,00000565,8,00,00,00,00,00,0D,0B,59,27568.374180,R
,0,00000163,8,00,00,00,00,00,0D,0B,5A,27568.375800,R
,0,00000565,8,00,00,00,00,00,0D,0B,5A,27568.376230,R
,0,00000230,8,64,00,00,00,00,00,00,00,27568.377170,R
,0,00000090,8,64,00,00,00,00,00,00,00,27568.377340,R
,0,00000098,8,64,00,00,00,00,00,00,00,27568.377590,R
,0,000000B2,8,64,00,00,00,00,00,00,00,27568.377850,R
,0,00000163,8,00,00,00,00,00,0D,0B,5B,27568.378110,R
,0,00000323,8,64,00,00,00,00,00,00,00,27568.378360,R
,0,00000500,8,64,00,00,00,00,00,00,00,27568.378620,R
,0,00000565,8,00,00,00,00,00,0D,0B,5B,27568.378870,R
,0,00000163,8,00,00,00,00,00,0D,0B,5C,27568.379900,R
,0,00000565,8,00,00,00,00,00,0D,0B,5C,27568.380330,R
,0,00000163,8,00,00,00,00,00,0D,0B,5D,27568.381950,R
