Chn,dec,id,Time,t,B0,B0,B0,,C0,,,,,,,
1,1381,565,27626.55061,0,-1205,,,,,,,,-1185,,,
2,355,163,27626.55223,0.00162,-179,,,,,,,,-159,,,
3,1381,565,27626.55266,0.00205,-1205,,,,,,,,-1185,,,
4,355,163,27626.55428,0.00367,-179,,,,,,,,-159,,,
5,1381,565,27626.5547,0.00409,-1205,,,,-1189,,,,-1185,,,
6,163,000000A3,27626.55564,0.00503,13,,,,29,,,,33,,,
7,144,90,27626.5559,0.00529,32,,,,48,,,,52,,,
8,152,98,27626.55615,0.00554,24,,,,40,,,,44,,,
9,178,000000B2,27626.55641,0.0058,-2,,,,14,,,,18,,,
10,179,000000B3,27626.55658,0.00597,-3,,,,13,,,,17,,,
11,355,163,27626.55684,0.00623,-179,,,,-163,,,,-159,,,
12,560,230,27626.55709,0.00648,-384,,,,-368,,,,-364,,,
13,803,323,27626.55735,0.00674,-627,,,,-611,,,,-607,,,
14,1280,500,27626.55761,0.007,-1104,,,,-1088,,,,-1084,,,
15,1381,565,27626.55786,0.00725,-1205,,,,-1189,,,,-1185,,,
16,355,163,27626.55846,0.00785,-179,,,,-163,,,,-159,,,
17,1381,565,27626.5588,0.00819,-1205,,,,-1189,,,,-1185,,,
18,355,163,27626.56042,0.00981,-179,,,,-163,,,,-159,,,
19,1381,565,27626.56076,0.01015,-1205,,,,-1189,,,,-1185,,,
20,355,163,27626.56247,0.01186,-179,,,,-163,,,,-159,,,
21,1381,565,27626.56281,0.0122,-1205,,,,-1189,,,,-1185,,,
22,355,163,27626.56452,0.01391,-179,,,,-163,,,,-159,,,
23,1381,565,27626.56486,0.01425,-1205,,,,-1189,,,,-1185,,,
24,560,230,27626.56563,0.01502,-384,,,,-368,,,,-364,,,
25,144,90,27626.56588,0.01527,32,,,,48,,,,52,,,
26,152,98,27626.56614,0.01553,24,,,,40,,,,44,,,
27,178,000000B2,27626.56639,0.01578,-2,,,,14,,,,18,,,
28,355,163,27626.56665,0.01604,-179,,,,-163,,,,-159,,,
29,803,323,27626.56691,0.0163,-627,,,,-611,,,,-607,,,
30,1280,500,27626.56708,0.01647,-1104,,,,-1088,,,,-1084,,,
31,1381,565,27626.56733,0.01672,-1205,,,,-1189,,,,-1185,,,
32,355,163,27626.56861,0.018,-179,,,,-163,,,,-159,,,
33,1381,565,27626.56895,0.01834,-1205,,,,-1189,,,,-1185,,,
34,355,163,27626.57058,0.01997,-179,,,,-163,,,,-159,,,
35,1381,565,27626.571,0.02039,-1205,,,,-1189,,,,-1185,,,
36,355,163,27626.57262,0.02201,-179,,,,-163,,,,-159,,,
37,1381,565,27626.57305,0.02244,-1205,,,,-1189,,,,-1185,,,
38,355,163,27626.57467,0.02406,-179,,,,-163,,,,-159,,,
39,1381,565,27626.5751,0.02449,-1205,,,,-1189,,,,-1185,,,
40,560,230,27626.57561,0.025,-384,,,,-368,,,,-364,,,
41,144,90,27626.57587,0.02526,32,,,,48,,,,52,,,
42,152,98,27626.57612,0.02551,24,,,,40,,,,44,,,
43,178,000000B2,27626.57638,0.02577,-2,,,,14,,,,18,,,
44,803,323,27626.57663,0.02602,-627,,,,-611,,,,-607,,,
45,355,163,27626.57689,0.02628,-179,,,,-163,,,,-159,,,
46,1280,500,27626.57715,0.02654,-1104,,,,-1088,,,,-1084,,,
47,1381,565,27626.57732,0.02671,-1205,,,,-1189,,,,-1185,,,
48,355,163,27626.57877,0.02816,-179,,,,-163,,,,-159,,,
49,1381,565,27626.57919,0.02858,-1205,,,,-1189,,,,-1185,,,
